time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,bid3,bid_size3,ask3,ask_size3,bid4,bid_size4,ask4,ask_size4,bid5,bid_size5,ask5,ask_size5,bid6,bid_size6,ask6,ask_size6,bid7,bid_size7,ask7,ask_size7
2021-10-01 10:45:36.404230-04:00,34.66,20.0,34.69,2.0,18.19,1084.0,18.2,3439.0,16.6,6926.0,16.61,3494.0,52.39,131.0,52.44,38.0,16.17,119.0,16.19,217.0,24.38,20.0,24.39,3.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:39.274555-04:00,34.63,38.0,34.67,100.0,18.19,1084.0,18.2,3439.0,16.6,4293.0,16.61,3544.0,52.39,131.0,52.44,38.0,16.17,119.0,16.19,217.0,24.38,20.0,24.39,3.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:39.274555-04:00,34.63,38.0,34.67,100.0,18.18,590.0,18.19,2755.0,16.6,4293.0,16.61,3544.0,52.39,131.0,52.44,38.0,16.17,119.0,16.19,217.0,24.38,20.0,24.39,3.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:39.274555-04:00,34.63,38.0,34.67,100.0,18.18,590.0,18.19,2755.0,16.6,4293.0,16.61,3544.0,52.4,3.0,52.44,72.0,16.17,119.0,16.19,217.0,24.38,20.0,24.39,3.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:49.834332-04:00,34.63,108.0,34.67,64.0,18.18,274.0,18.19,3387.0,16.6,4247.0,16.61,3673.0,52.4,3.0,52.44,72.0,16.17,98.0,16.18,57.0,24.37,78.0,24.39,33.0,68.36,108.0,68.69,16.0
2021-10-01 10:45:49.834332-04:00,34.63,108.0,34.67,64.0,18.18,274.0,18.19,3387.0,16.6,4247.0,16.61,3673.0,52.4,3.0,52.44,72.0,16.17,105.0,16.18,58.0,24.37,78.0,24.39,52.0,68.36,108.0,68.69,16.0
2021-10-01 10:45:49.834332-04:00,34.63,108.0,34.67,64.0,18.18,274.0,18.19,3387.0,16.59,7452.0,16.6,125.0,52.4,3.0,52.44,72.0,16.17,105.0,16.18,58.0,24.37,78.0,24.39,52.0,68.36,10.0,68.69,16.0
2021-10-01 10:45:49.834332-04:00,34.63,108.0,34.67,64.0,18.18,274.0,18.19,3387.0,16.59,7452.0,16.6,125.0,52.39,58.0,52.43,90.0,16.17,105.0,16.18,58.0,24.37,78.0,24.39,52.0,68.36,10.0,68.69,16.0
2021-10-01 10:45:59.079612-04:00,34.63,36.0,34.66,2.0,18.18,274.0,18.19,3387.0,16.59,7452.0,16.6,125.0,52.39,58.0,52.43,90.0,16.17,105.0,16.18,58.0,24.37,78.0,24.39,52.0,68.36,10.0,68.69,16.0
2021-10-01 10:45:59.079612-04:00,34.63,36.0,34.66,2.0,18.17,2703.0,18.18,537.0,16.59,7452.0,16.6,125.0,52.39,58.0,52.43,90.0,16.17,105.0,16.18,58.0,24.37,78.0,24.39,52.0,68.36,10.0,68.69,16.0
