time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,logmid1,logmid2,logbid1,logbid2,logask1,logask2,residuals,forward_pnl,mid1_diff,mid2_diff,imb1,imb2,mid1_diff_bin,mid2_diff_bin,self.__res_bin,imb1_bin,imb2_bin,state,state_later
2021-09-27 11:11:09.065057-04:00,17.81,3643,17.82,1384,16.43,3047,16.44,3861,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.7246866918639348,0.4410828025477707,1,1,2,2,1,221,22121
2021-09-27 11:11:09.065057-04:00,17.81,3643,17.82,1384,16.43,3874,16.44,3242,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0005611672425605008,0.010000000000001563,0.0,0.7246866918639348,0.544406970207982,2,1,2,2,1,221,31111
2021-09-27 11:11:19.076291-04:00,17.82,2468,17.83,1758,16.43,3874,16.44,3242,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.5840037860861335,0.544406970207982,1,1,3,1,1,311,31111
2021-09-27 11:11:20.078613-04:00,17.82,2468,17.83,1758,16.43,3876,16.44,3205,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.5840037860861335,0.5473803135150402,1,1,3,1,1,311,31111
2021-09-27 11:11:20.078613-04:00,17.82,2270,17.83,1715,16.43,3876,16.44,3205,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.5696361355081556,0.5473803135150402,1,1,3,1,1,311,31111
2021-09-27 11:11:34.096134-04:00,17.82,2270,17.83,1715,16.43,3898,16.44,3257,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.5696361355081556,0.5447938504542278,1,1,3,1,1,311,31111
2021-09-27 11:11:34.096134-04:00,17.82,2272,17.83,1757,16.43,3898,16.44,3257,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.5639116406056094,0.5447938504542278,1,1,3,1,1,311,31111
2021-09-27 11:11:49.114979-04:00,17.82,1958,17.83,2009,16.43,3898,16.44,3257,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.4935719687421225,0.5447938504542278,1,1,3,1,1,311,31111
2021-09-27 11:11:49.114979-04:00,17.82,1958,17.83,2009,16.43,3898,16.44,3245,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.4935719687421225,0.5457090858182836,1,1,3,1,1,311,31111
2021-09-27 11:11:49.114979-04:00,17.82,2170,17.83,1750,16.43,3898,16.44,3245,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.5535714285714286,0.5457090858182836,1,1,3,1,1,311,31111
